"date","armed","age","gender","race","city","state","signs_of_mental_illness","body_camera","percent_completed_hs","poverty_rate"
"2017-10-03","gun",40,"M","W","Escondido","CA",True,False,"73.6","18.7"
"2015-01-11","gun",20,"M","W","Eureka","CA",False,False,"86.5","24.5"
"2015-01-15","knife",36,"M","H","Fairfield","CA",True,False,"85.6","13.2"
"2016-09-23","undetermined",41,"M","W","Fair Oaks","CA",False,False,"94.3","11.9"
"2017-07-19","gun",24,"M",NULL,"Fair Oaks","CA",False,False,"94.3","11.9"
"2015-03-13","knife",36,"M","W","Fontana","CA",False,False,"72.5","16.1"
"2015-10-09","knife",35,"M",NULL,"Fontana","CA",True,False,"72.5","16.1"
"2015-11-22","knife",47,"M","W","Fontana","CA",True,False,"72.5","16.1"
"2015-04-26","gun",45,"M","W","Fountain Valley","CA",False,False,"90.2","8.1"
"2015-01-16","knife",48,"M","O","Fremont","CA",False,False,"92.3","6.1"
"2015-07-20","knife",54,"M",NULL,"Fremont","CA",False,False,"92.3","6.1"
"2017-05-02","unarmed",45,"M","B","Fremont","CA",True,False,"92.3","6.1"
"2015-10-18","knife",28,"M","W","Fresno","CA",True,False,"75.2","29.8"
"2015-07-09","metal pipe",45,"M","H","Fresno","CA",False,True,"75.2","29.8"
"2015-03-09","unarmed",40,"M","H","Fresno","CA",True,True,"75.2","29.8"
"2015-07-08","toy weapon",30,"M","W","Fresno","CA",True,False,"75.2","29.8"
"2015-06-25","gun",61,"M","W","Fresno","CA",False,False,"75.2","29.8"
"2016-03-23","gun",34,"M","H","Fresno","CA",False,True,"75.2","29.8"
"2015-12-30","knife",55,"M","H","Fresno","CA",False,True,"75.2","29.8"
"2016-06-25","unarmed",19,"M","W","Fresno","CA",True,True,"75.2","29.8"
"2017-01-30","gun and knife",45,"M","H","Fresno","CA",True,False,"75.2","29.8"
"2017-07-06","gun",21,"M","H","Fresno","CA",False,True,"75.2","29.8"
"2017-04-15","undetermined",16,"M","H","Fresno","CA",False,True,"75.2","29.8"
"2016-03-07","vehicle",19,"M","H","Fullerton","CA",False,False,"86.6","16.8"
"2017-02-16","gun",21,"M","B","Gardena","CA",False,False,"81.8","15"
"2015-12-14","undetermined",19,"M","H","Gilroy","CA",False,True,"77","15.1"
"2016-03-13","vehicle",45,"M","W","Glendale","CA",True,False,"84.4","14.6"
"2016-12-27","gun",35,"M",NULL,"Grass Valley","CA",False,False,"88.7","28.4"
"2017-12-07","blunt object",NULL,"M",NULL,"Grover Beach","CA",False,False,"85.9","13.8"
"2016-12-15","gun",60,"M","W","Hacienda Heights","CA",False,False,"85.8","7.9"
"2015-05-07","unarmed",43,"M","W","Hawaiian Gardens","CA",False,False,"58.8","30.7"
"2015-01-04","gun",37,"M","B","Hawthorne","CA",False,False,"73.8","20.1"
"2016-08-13","vehicle",36,"M","H","Hayward","CA",False,False,"80.1","13.4"
"2017-03-14","unarmed",16,"F","H","Hayward","CA",False,False,"80.1","13.4"
